"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",192107,92.9,108,1.8,91.1
0100,"Alabama",192108,91.8,94,1.2,90.6
0100,"Alabama",192109,93.2,124,6.9,86.3
0100,"Alabama",192110,76.7,61,-0.2,76.9
0100,"Alabama",192111,70.1,114,4.1,66
0100,"Alabama",192112,62.6,117,5.2,57.4
0100,"Alabama",192201,55.4,55,-0.6,56
0100,"Alabama",192202,64.3,110,4.7,59.6
0100,"Alabama",192203,66.6,53,-0.6,67.2
0100,"Alabama",192204,77.8,97,2.2,75.6
0100,"Alabama",192205,82.1,48,-0.9,83
0100,"Alabama",192206,89.9,77,0.6,89.3
0100,"Alabama",192207,91.1,70,0.0,91.1
0100,"Alabama",192208,90.4,63,-0.2,90.6
0100,"Alabama",192209,90.0,113,3.7,86.3
0100,"Alabama",192210,77.0,68,0.1,76.9
0100,"Alabama",192211,69.0,102,3.0,66
0100,"Alabama",192212,63.7,121,6.3,57.4
0100,"Alabama",192301,62.8,119,6.8,56
0100,"Alabama",192302,57.7,39,-1.9,59.6
0100,"Alabama",192303,66.7,54,-0.5,67.2
0100,"Alabama",192304,74.8,47,-0.8,75.6
0100,"Alabama",192305,79.8,9,-3.2,83
0100,"Alabama",192306,87.4,30,-1.9,89.3
0100,"Alabama",192307,89.4,28,-1.7,91.1
0100,"Alabama",192308,88.5,22,-2.1,90.6
0100,"Alabama",192309,87.7,90,1.4,86.3
0100,"Alabama",192310,76.0,54,-0.9,76.9
0100,"Alabama",192311,63.7,31,-2.3,66
0100,"Alabama",192312,62.8,118,5.4,57.4
0100,"Alabama",192401,52.7,28,-3.3,56
0100,"Alabama",192402,58.0,42,-1.6,59.6
0100,"Alabama",192403,61.8,9,-5.4,67.2
0100,"Alabama",192404,74.8,47,-0.8,75.6
0100,"Alabama",192405,79.5,5,-3.5,83
0100,"Alabama",192406,90.6,87,1.3,89.3
0100,"Alabama",192407,91.9,89,0.8,91.1
0100,"Alabama",192408,94.3,122,3.7,90.6
0100,"Alabama",192409,83.6,18,-2.7,86.3
0100,"Alabama",192410,79.1,102,2.2,76.9
0100,"Alabama",192411,69.7,109,3.7,66
0100,"Alabama",192412,58.5,77,1.1,57.4
0100,"Alabama",192501,57.2,81,1.2,56
0100,"Alabama",192502,64.3,110,4.7,59.6
0100,"Alabama",192503,70.8,102,3.6,67.2
0100,"Alabama",192504,80.8,124,5.2,75.6
0100,"Alabama",192505,82.6,61,-0.4,83
0100,"Alabama",192506,93.3,118,4.0,89.3
0100,"Alabama",192507,93.6,115,2.5,91.1
0100,"Alabama",192508,93.3,111,2.7,90.6
0100,"Alabama",192509,96.8,126,10.5,86.3
0100,"Alabama",192510,75.8,47,-1.1,76.9
0100,"Alabama",192511,63.2,25,-2.8,66
0100,"Alabama",192512,55.7,37,-1.7,57.4
0100,"Alabama",192601,53.8,43,-2.2,56
0100,"Alabama",192602,62.1,92,2.5,59.6
0100,"Alabama",192603,59.8,3,-7.4,67.2
0100,"Alabama",192604,74.0,32,-1.6,75.6
0100,"Alabama",192605,83.4,71,0.4,83
0100,"Alabama",192606,89.4,70,0.1,89.3
0100,"Alabama",192607,90.9,65,-0.2,91.1
0100,"Alabama",192608,90.4,63,-0.2,90.6
0100,"Alabama",192609,89.8,111,3.5,86.3
0100,"Alabama",192610,78.3,90,1.4,76.9
0100,"Alabama",192611,61.5,10,-4.5,66
0100,"Alabama",192612,61.8,112,4.4,57.4
0100,"Alabama",192701,59.5,98,3.5,56
0100,"Alabama",192702,68.7,127,9.1,59.6
0100,"Alabama",192703,67.4,61,0.2,67.2
0100,"Alabama",192704,79.8,119,4.2,75.6
0100,"Alabama",192705,84.8,95,1.8,83
0100,"Alabama",192706,88.3,47,-1.0,89.3
0100,"Alabama",192707,92.4,98,1.3,91.1
0100,"Alabama",192708,89.8,52,-0.8,90.6
0100,"Alabama",192709,90.8,119,4.5,86.3
0100,"Alabama",192710,81.5,122,4.6,76.9
0100,"Alabama",192711,71.4,121,5.4,66
0100,"Alabama",192712,57.0,55,-0.4,57.4
0100,"Alabama",192801,56.0,67,-0.0,56
0100,"Alabama",192802,59.0,60,-0.6,59.6
0100,"Alabama",192803,67.1,58,-0.1,67.2
0100,"Alabama",192804,71.4,6,-4.2,75.6
0100,"Alabama",192805,81.5,39,-1.5,83
0100,"Alabama",192806,86.0,15,-3.3,89.3
0100,"Alabama",192807,91.4,76,0.3,91.1
0100,"Alabama",192808,91.6,89,1.0,90.6
0100,"Alabama",192809,84.8,40,-1.5,86.3
0100,"Alabama",192810,79.4,104,2.5,76.9
0100,"Alabama",192811,64.5,42,-1.5,66
0100,"Alabama",192812,58.3,74,0.9,57.4
0100,"Alabama",192901,59.9,101,3.9,56
0100,"Alabama",192902,56.4,26,-3.2,59.6
0100,"Alabama",192903,70.5,100,3.3,67.2
0100,"Alabama",192904,78.1,103,2.5,75.6
